raw_name,norm_basic,norm_alias,sources,mention_count,owner,country,region,founded,type,status,match_method_used
Cabrach,cabrach,cabrach,data/books/yeni veriler/brands.csv;data/books/yeni veriler/distilleries.csv,2,The Cabrach Trust,Scotland,Speyside,,A2 - Alembic,,unmatched
Caledonian,caledonian,caledonian,data/books/yeni veriler/distilleries.csv,2,X,Scotland,Campbeltown,,A2 - Alembic,,unmatched
Cambus,cambus,cambus,data/books/yeni veriler/distilleries.csv,1,X,Scotland,?,,Grain whisky,,unmatched
Campbeltown,campbeltown,campbeltown,data/books/yeni veriler/distilleries.csv,1,X,Scotland,Campbeltown,,A2 - Alembic,,unmatched
Caperdonich,caperdonich,caperdonich,data/books/yeni veriler/distilleries.csv,1,X,Scotland,Speyside,,A2 - Alembic,,unmatched
Carsebridge,carsebridge,carsebridge,data/books/yeni veriler/distilleries.csv,1,X,Scotland,?,,Grain whisky,,unmatched
Cedar Ridge Distillery,cedar ridge distillery,cedar ridge,data/books/yeni veriler/distilleries.csv,1,"Cedar Ridge Vineyards, LLC",USA,Iowa,,? - Unknown,,unmatched
Clydesdale,clydesdale,clydesdale,data/books/yeni veriler/distilleries.csv,1,X,Scotland,Lowland,,A2 - Alembic,,unmatched
Coleburn,coleburn,coleburn,data/books/yeni veriler/distilleries.csv,1,X,Scotland,Speyside,,A2 - Alembic,,unmatched
Convalmore,convalmore,convalmore,data/books/yeni veriler/distilleries.csv,1,X,Scotland,Speyside,,A2 - Alembic,,unmatched
Dailuaine,dailuaine,dailuaine,data/books/yeni veriler/brands.csv;data/books/yeni veriler/distilleries.csv,2,Diageo,Scotland,Speyside,,A2 - Alembic,,unmatched
Dalaruan,dalaruan,dalaruan,data/books/yeni veriler/distilleries.csv,1,X,Scotland,Campbeltown,,A2 - Alembic,,unmatched
Dalintober,dalintober,dalintober,data/books/yeni veriler/distilleries.csv,1,X,Scotland,Campbeltown,,A2 - Alembic,,unmatched
Dallas Dhu,dallas dhu,dallas dhu,data/books/yeni veriler/distilleries.csv,1,X,Scotland,Speyside,,A2 - Alembic,,unmatched
Dalmunach Distillery,dalmunach distillery,dalmunach,data/books/yeni veriler/distilleries.csv,1,Chivas Brothers (Pernod Ricard),Scotland,Speyside,,A2 - Alembic,,unmatched
Dean,dean,dean,data/books/yeni veriler/distilleries.csv,1,X,Scotland,Lowland,,A2 - Alembic,,unmatched
Devanha,devanha,devanha,data/books/yeni veriler/distilleries.csv,1,X,Scotland,Highland,,A2 - Alembic,,unmatched
Drumcaldie,drumcaldie,drumcaldie,data/books/yeni veriler/distilleries.csv,1,X,Scotland,Lowland,,A2 - Alembic,,unmatched
Drumore,drumore,drumore,data/books/yeni veriler/distilleries.csv,1,X,Scotland,Campbeltown,,A2 - Alembic,,unmatched
"Dublin Liberties Distillery, The","dublin liberties distillery, the",dublin liberties,data/books/yeni veriler/distilleries.csv,1,Dublin Liberties Irish Whiskey,Ireland,Dublin,,,,unmatched
Dumbarton,dumbarton,dumbarton,data/books/yeni veriler/distilleries.csv,1,X,Scotland,?,,C - Column,,unmatched
Dundashill,dundashill,dundashill,data/books/yeni veriler/distilleries.csv,1,X,Scotland,Lowland,,Grain whisky,,unmatched
Dunphail,dunphail,dunphail,data/books/yeni veriler/brands.csv;data/books/yeni veriler/distilleries.csv,2,Dunphail Distillery Ltd - the Jones family,Scotland,Speyside,,A2 - Alembic,,unmatched
Echlinville Distillery,echlinville distillery,echlinville,data/books/yeni veriler/distilleries.csv,1,"Old Comber, Ban Poitín",Northern Ireland,Down,,"Single Malt, Single Pot Still, Blended; gin, poitín, vodka",,unmatched
Edinburgh,edinburgh,edinburgh,data/books/yeni veriler/distilleries.csv,1,X,Scotland,Lowland,,A2 - Alembic,,unmatched
