whisky_id,whisky_name,source_url,source_domain,source_type,snapshot_path,http_status,fetch_status,extraction_status,match_score,mismatch_flags,nose_notes,palate_notes,finish_notes,aroma_tags,extracted_profile_vector,recommended_action,production_ready
W000930,compass box flaming heart 2015 5th edition - 15th anniversary,https://www.whiskynotes.be/search/compass-box-flaming-heart-2015-5th-edition---15th-anniversary-tasting-notes-review,whiskynotes.be,review_site,C:\Users\eltun\Documents\malt radar\data\output\tasting_note_snapshots\W000930_13.html,,,extracted,90,,,,,,,manual_review,false
W000948,compass box flaming heart 2010 3rd edition - 10th anniversary,https://www.whiskynotes.be/search/compass-box-flaming-heart-2010-3rd-edition---10th-anniversary-tasting-notes-review,whiskynotes.be,review_site,C:\Users\eltun\Documents\malt radar\data\output\tasting_note_snapshots\W000948_14.html,,,extracted,90,,,,,,,manual_review,false
W000750,mackinlay's shackleton rare old highland malt journey edition,https://www.whiskynotes.be/search/mackinlay's-shackleton-rare-old-highland-malt-journey-edition-tasting-notes-review,whiskynotes.be,review_site,C:\Users\eltun\Documents\malt radar\data\output\tasting_note_snapshots\W000750_15.html,,,extracted,90,,,,,,,manual_review,false
W000853,shelter point classic single cask (kwm) single malt whisky,https://www.whiskynotes.be/search/shelter-point-classic-single-cask-(kwm)-single-malt-whisky-tasting-notes-review,whiskynotes.be,review_site,C:\Users\eltun\Documents\malt radar\data\output\tasting_note_snapshots\W000853_17.html,,,extracted,90,,,,,,,manual_review,false
W001447,gooderham & worts 17yo little trinity three grain (2017),https://www.whiskynotes.be/search/gooderham-&-worts-17yo-little-trinity-three-grain-(2017)-tasting-notes-review,whiskynotes.be,review_site,C:\Users\eltun\Documents\malt radar\data\output\tasting_note_snapshots\W001447_20.html,,,extracted,95,,,,,,,manual_review,false
W001173,bruichladdich port charlotte islay barley heavily peated,https://www.whiskynotes.be/search/bruichladdich-port-charlotte-islay-barley-heavily-peated-tasting-notes-review,whiskynotes.be,review_site,C:\Users\eltun\Documents\malt radar\data\output\tasting_note_snapshots\W001173_21.html,,,extracted,90,,,,,,,manual_review,false
W000491,glenfiddich winter storm 21yo experimental series no. 3,https://www.whiskynotes.be/search/glenfiddich-winter-storm-21yo-experimental-series-no.-3-tasting-notes-review,whiskynotes.be,review_site,C:\Users\eltun\Documents\malt radar\data\output\tasting_note_snapshots\W000491_22.html,,,extracted,105,,,,,,,manual_review,false
W000674,game of thrones house tully singleton glendullan select,https://www.whiskynotes.be/search/game-of-thrones-house-tully-singleton-glendullan-select-tasting-notes-review,whiskynotes.be,review_site,C:\Users\eltun\Documents\malt radar\data\output\tasting_note_snapshots\W000674_23.html,,,extracted,90,,,,,,,manual_review,false
W001560,last mountain distillery single cask 100% wheat whisky,https://www.whiskynotes.be/search/last-mountain-distillery-single-cask-100%-wheat-whisky-tasting-notes-review,whiskynotes.be,review_site,C:\Users\eltun\Documents\malt radar\data\output\tasting_note_snapshots\W001560_25.html,,,extracted,90,,,,,,,manual_review,false
W000374,game of thrones house baratheon royal lochnagar 12 ans,https://www.whiskynotes.be/search/game-of-thrones-house-baratheon-royal-lochnagar-12-ans-tasting-notes-review,whiskynotes.be,review_site,C:\Users\eltun\Documents\malt radar\data\output\tasting_note_snapshots\W000374_26.html,,,extracted,95,,,,,,,manual_review,false
