smws_code,whisky_id,name
29.164,a2792400-9949-53f6-93ab-fb758e061c18,SMWS 29.164 - SMWS 29.164
29.165,4c2abb3a-be19-578e-b874-e0a8005eaf77,SMWS 29.165 - SMWS 29.165
29.171,415cab1e-628e-541c-9c9d-a891f95a255b,SMWS 29.171 - SMWS 29.171
29.176,75c93994-2597-5823-bd00-c5bf988fa2e7,SMWS 29.176 - SMWS 29.176
29.179,19a86362-6101-543d-b38a-321fe261e4f6,SMWS 29.179 - SMWS 29.179
29.183,1d9be9ee-5bf0-5823-a027-35adea6e3b31,SMWS 29.183 - SMWS 29.183
29.190,60044aa8-38fd-5ea6-8655-30420036780c,SMWS 29.190 - SMWS 29.190
029.41,04210a8e-2fb9-59b0-989f-075a38a4f5b6,SMWS 029.41 - Mr. Hyde and Dr. Jekyll
029.52,a10c3a1a-3ffc-5942-bed1-168f65b4f633,SMWS 029.52 - Lapsang Souchong Tea with Sweet Apples
29.60,f1c7dad4-49a1-591b-8873-a426e5aa6bc1,SMWS 29.60 - Smoke-heads will Die for it
29.64,37b64209-818d-5db8-b702-e4befa51d54e,"SMWS 29.64 - Diesel, Fishing Boats and Engine Smoke"
29.68,0f01956b-105b-5d7a-aee4-cfcfcee1bf9b,SMWS 29.68 - A Match Made in Heaven
29.71,14bf995e-4f44-53a0-950d-fb547b537c26,"SMWS 29.71 - A Tongue-curling, Wrestler's
               Armpit of a Dram"
29.78,631f719e-2726-5b69-b272-ca88b906f604,SMWS 29.78 - SMWS 29.78
29.79,1b3b0b6f-62fe-5bde-a822-73bcc7f2d478,SMWS 29.79 - like bashing stones together
29.80,031087b9-d026-59a9-ae43-6a52d8eb36ad,SMWS 29.80 - ironing a chimney sweep's shirt
29.82,71c09f39-7f4f-52b5-9ca3-fa9ce9f320e5,SMWS 29.82 - Something medicinal
29.88,3e599b3c-56e3-55e7-878b-9d3ad09344ee,SMWS 29.88 - SMWS 29.88
29.92,44db02f0-d229-5eb3-ad25-2357b7019d6e,SMWS 29.92 - SMWS 29.92
29.97,a3c6004b-a4ba-5168-88c3-cdb7c8e3c34d,"SMWS 29.97 - wood, smoke, blood"
030.46,5bddfb74-aa85-59b9-8787-898e36316ef3,SMWS 030.46 - Rich Fruits and Sherry
30.62,1a201662-1db2-5a83-b106-cf45e7b24e53,SMWS 30.62 - SMWS 30.62
33.114,84732bb1-b1d2-5f89-8803-5833614ecd84,SMWS 33.114 - SMWS 33.114
33.115,52e35574-90b6-5871-bfba-34ee0da64572,SMWS 33.115 - SMWS 33.115
33.125,cf60ff5e-1643-54ed-aeff-cf4cf3976182,SMWS 33.125 - SMWS 33.125
33.130,fa6c1dee-a4d6-5a4d-9d30-4fd05495ac2e,SMWS 33.130 - SMWS 33.130
33.143,42ec3bc6-eb54-58b0-addb-16bbfbc88dfb,SMWS 33.143 - SMWS 33.143
35.101,50b0a8ef-c78a-5168-98e6-797f284bc67d,SMWS 35.101 - SMWS 35.101
35.104,5ce7f1cc-e838-5a71-9eaa-ec48050a18b5,SMWS 35.104 - SMWS 35.104
35.106,d717c486-c25f-5650-a7ba-18d77b72e432,SMWS 35.106 - SMWS 35.106
35.109,605a88b7-4697-510d-af18-bca7f8f17167,SMWS 35.109 - SMWS 35.109
35.110,3e9da869-4dd8-5129-bbb2-bc20342f123a,SMWS 35.110 - SMWS 35.110
35.111,f833e69f-06db-56de-896c-7b9ddbf14793,SMWS 35.111 - SMWS 35.111
35.114,ed89fd8d-d3b6-52aa-9385-843d6c704e96,SMWS 35.114 - SMWS 35.114
35.117,1343ac71-7bb8-53bf-9c1b-e34c20e471d1,SMWS 35.117 - SMWS 35.117
35.122,14962f3b-e8ee-549a-9d06-0444aef95d93,SMWS 35.122 - SMWS 35.122
35.129,f1249309-f99b-52fe-b723-b8c9ac4b3bc3,SMWS 35.129 - SMWS 35.129
35.142,9cdbb726-bf09-5860-868c-98e1a5123ff0,SMWS 35.142 - SMWS 35.142
35.143,fce85ca8-cb7f-5afa-9124-b4439b9c6dd8,SMWS 35.143 - SMWS 35.143
35.23,b4df6f56-6372-505a-a0e0-b7d713924932,SMWS 35.23 - Bloody Mary Delight
35.35,65cdbe24-c4a7-5c16-b450-64417c0568f9,SMWS 35.35 - humungous
35.49,aca26396-0494-5af0-ac2b-ca204cd640ad,SMWS 35.49 - SMWS 35.49
35.51,353b3d23-49a4-5684-a562-91cba32e6018,SMWS 35.51 - SMWS 35.51
