staging_id,smws_code,staging_name,matched_whisky_id,matched_name,score,classification,age,abv
79,3.98,An Islay Sweetie,ba40e478-5e37-5261-aa3b-e60ef1448470,Bowmore SMWS 3.98 - An Islay Sweetie,0.9423,EXACT,19.0,55.2
80,4.103,Summer in the Isles,48b76d49-3cea-56bb-a5ea-02af7c181389,Highland Park SMWS 4.103 - Summer in the Isles,0.9417,EXACT,17.0,51.6
81,4.107,Toffee and the Phantom Beefsteak,6037a55b-ec66-55f7-9e17-b482a403e7e0,Highland Park SMWS 4.107 - Toffee and the Phantom Beefsteak,0.9441,EXACT,17.0,61.0
82,4.114,Coastal Delight,88035bdd-884f-5488-93f8-c1ffb817364f,Highland Park SMWS 4.114 - Coastal Delight,0.8905,STRONG,22.0,52.5
83,4.118,"Smoke, Peat and Orange Marmalade",e1fa9e80-a79b-5cf2-bc3f-ae380696f7b4,"Highland Park SMWS 4.118 - Smoke, Peat and Orange Marmalade",0.9441,EXACT,10.0,59.0
84,4.120,Sunshine in a Bottle,aaa43573-8c35-57b3-afd2-0c7a26683263,Highland Park SMWS 4.120 - Sunshine in a Bottle,0.9419,EXACT,20.0,50.5
85,4.135,"Highlands, Orkney",e074f3a3-e799-5203-8cec-b965bf913e62,Highland Park SMWS 4.135 - SMWS 4.135,0.9381,EXACT,10.0,57.3
86,4.137,"Highlands, Orkney",80bacdff-f9e4-5dca-b90b-8c7670b35587,Highland Park SMWS 4.137 - Oooh!,0.939,EXACT,12.0,58.7
87,4.138,"Highlands, Orkney",52a9c5a9-a1f9-5b8c-975b-4d04ccb82290,"Highland Park SMWS 4.138 - a
  vanilla patisserie",0.9379,EXACT,9.0,61.7
88,4.145,"Highlands, Orkney",9179c557-8797-5aec-b6d4-15e15e75ef29,Highland Park SMWS 4.145 - SMWS 4.145,0.9381,EXACT,21.0,52.0
89,4.146,"Highlands, Orkney",d4635d93-bd03-544e-8c28-c6a590c863b4,Highland Park SMWS 4.146 - SMWS 4.146,0.9381,EXACT,19.0,54.7
90,4.148,"Highland, Orkney",325e83db-d4dc-552e-8493-7ffbeeb467b3,"Highland Park SMWS 4.148 - chip shop brown
sauce",0.9381,EXACT,10.0,59.9
91,4.151,"Highlands, Orkney",1f9e358e-e702-5cdb-83fd-1f502379b020,Highland Park SMWS 4.151 - SMWS 4.151,0.9381,EXACT,26.0,53.1
92,4.153,"Highlands, Orkney",1dc7c9b6-7d88-53d4-995d-578b398fca2e,Highland Park SMWS 4.153 - SMWS 4.153,0.9381,EXACT,11.0,58.6
93,4.156,"Highland, Island",4f363859-6736-5a47-a78b-caac43bd7035,Highland Park SMWS 4.156 - SMWS 4.156,0.9375,EXACT,20.0,53.5
94,4.160,"Highland, Island",507f6bdb-bf78-5c19-a6e0-8e622b2c2d84,Highland Park SMWS 4.160 - SMWS 4.160,0.9375,EXACT,14.0,56.1
95,4.162,"Highland, Island",f865b05e-a649-5ff1-881a-50c2031c7d80,Highland Park SMWS 4.162 - SMWS 4.162,0.9375,EXACT,16.0,55.1
96,4.163,"Highland, Island",fbcd8b02-6ff3-56a1-be42-a40619a610d7,Highland Park SMWS 4.163 - SMWS 4.163,0.9375,EXACT,11.0,62.8
97,4.164,"Highland, Island",ab161ef7-6f6b-5d3f-9a75-e79e5499d601,Highland Park SMWS 4.164 - SMWS 4.164,0.9375,EXACT,11.0,62.0
98,4.169,"Highland, Island",99abf37a-b1ed-5d55-8566-1a41089efd55,Highland Park SMWS 4.169 - SMWS 4.169,0.9375,EXACT,25.0,59.7
99,4.171,"Highland, Island",47003c2d-9022-52e2-9a2a-900c3621db60,Highland Park SMWS 4.171 - SMWS 4.171,0.9375,EXACT,21.0,53.7
