staging_id,smws_code,staging_name,matched_whisky_id,matched_name,score,classification,age,abv
100,4.172,"Highland, Island",61607d8a-3b83-568b-9104-f97ed19300d0,Highland Park SMWS 4.172 - SMWS 4.172,0.9375,EXACT,13.0,60.1
101,4.175,"Highland, Island",d0392b30-9774-550c-bad5-3f6747f85d1f,Highland Park SMWS 4.175 - SMWS 4.175,0.9375,EXACT,13.0,55.9
102,4.178,"Highland, Island",01813d48-182c-5cec-8f43-ea9c0ee144d2,Highland Park SMWS 4.178 - SMWS 4.178,0.9375,EXACT,18.0,59.1
103,4.183,"Highland, Island",56b0ecd5-b248-5c08-8b28-1e604adedd99,Highland Park SMWS 4.183 - SMWS 4.183,0.9375,EXACT,13.0,62.1
104,4.188,"Highland, Island",539c547d-92cd-5ec2-8edf-49b2dd3f1d91,Highland Park SMWS 4.188 - SMWS 4.188,0.9375,EXACT,13.0,61.8
105,4.190,"Highland, Island",605431d1-f644-5dcc-a88f-17f23ac53b0b,Highland Park SMWS 4.190 - SMWS 4.190,0.9375,EXACT,22.0,53.9
106,4.191,"Highland, Island",0632580d-de61-55e7-8409-0b5599cd561e,Highland Park SMWS 4.191 - SMWS 4.191,0.9375,EXACT,22.0,54.2
107,4.197,"Highland, Island",18f2a337-d292-520a-914c-6eaa255f71c9,Highland Park SMWS 4.197 - SMWS 4.197,0.9375,EXACT,14.0,56.4
108,4.203,YO U N G & S P R I T E LY,52ffae21-8045-5292-8d7a-c742b0b72196,Highland Park SMWS 4.203 - SMWS 4.203,0.9345,EXACT,15.0,55.8
109,4.207,O I LY & C OA S TA L,77954d9a-d5cc-57c0-aa4b-e7a982e80b3f,Highland Park SMWS 4.207 - SMWS 4.207,0.9342,EXACT,19.0,54.6
110,4.211,O I LY & C OA S TA L,c4765adf-d4d7-533f-a257-85d99269bf8b,Highland Park SMWS 4.211 - SMWS 4.211,0.9342,EXACT,24.0,52.2
111,4.216,LIGHT & DELICATE,4db5a47f-a3fa-559f-896f-25c1902824b7,Highland Park SMWS 4.216 - SMWS 4.216,0.9338,EXACT,19.0,53.5
112,4.217,OILY & COASTAL,1fba5a7a-64ea-5518-bc5d-f16029813fdb,Highland Park SMWS 4.217 - SMWS 4.217,0.9339,EXACT,19.0,53.9
113,4.218,SPICY & SWEET,463e6420-c042-5467-8a93-9d86c0640425,Highland Park SMWS 4.218 - SMWS 4.218,0.9332,EXACT,16.0,55.9
114,4.96,"Toffee, Fudge and a Touch of Smoke",9fdd5383-121f-5566-973a-36d04d95a068,"Highland Park SMWS 4.96 - Toffee, Fudge and a Touch of Smoke",0.9445,EXACT,18.0,56.1
115,5.12,Hot and Honeyed,e9b197c5-6031-5f77-b1d8-2600e939e8c9,Auchentoshan SMWS 005.12 - Hot and Honeyed,0.9405,EXACT,12.0,60.9
116,5.16,Chocolates and a Bunch of Flowers,4c685257-4bde-5774-9f50-5f092bf11000,Auchentoshan SMWS 005.16 - Chocolates and a Bunch of Flowers,0.9442,EXACT,20.0,55.5
117,5.28,"Lowlands, Western Lowlands",1d39566b-4dfb-5b09-b1de-58725679f648,Auchentoshan SMWS 5.28 - SMWS 5.28,0.9353,EXACT,11.0,59.9
118,5.33,"Lowlands, Western Lowlands",2ee98027-889e-5d6f-bf3f-8963e0093546,Auchentoshan SMWS 5.33 - SMWS 5.33,0.9353,EXACT,10.0,60.4
119,5.35,"Lowlands, Western Lowlands",9d360b99-ea16-5ce8-b2bc-23afa6f5fae2,Auchentoshan SMWS 5.35 - SMWS 5.35,0.9353,EXACT,12.0,54.7
120,5.36,Lowland,9cff7a12-1565-5738-bc82-65b68a36d95a,Auchentoshan SMWS 5.36 - SMWS 5.36,0.9329,EXACT,14.0,59.8
