whisky_id,field,column,current_value,proposed_value,action,field_class,confidence,citation_id,source,dedupe_key,conflict
0f9afeae-b37e-5bc1-af6d-e25c0047c034,region,region,,Campbeltown,APPLY,REPLACE,0.95,CIT_37798c2eb00df7397acf52909dae9f3ad1d5258bfa94e8fd865405bd677cca68,smws,06b61eb43cd7dc025667dbb3d8299f36120599bbd6234c844f9707b84282aba9,fill_null
0fba713a-af35-524d-94a7-a7516e0aa71b,cask_type,cask_type,,hogshead;refill,APPEND,APPEND,0.95,CIT_a08f79b5b2ce3e6f3e196126accf9f39ad618df2c4e7fa910699ac9881b0a2ec,smws,975dcf48a04ce3f161f434b080c4ac9e77180c02821a219126005bcad1b5b856,fill_null
0fba713a-af35-524d-94a7-a7516e0aa71b,region,region,,Speyside,APPLY,REPLACE,0.95,CIT_a08f79b5b2ce3e6f3e196126accf9f39ad618df2c4e7fa910699ac9881b0a2ec,smws,3248cf74306478e0584658abaf8b5a6ce07d3e34f6c7f029de9a17a6098d8bf9,fill_null
0fcfaf79-a9e3-50aa-a665-71c43bc9eb8e,cask_type,cask_type,,hogshead;refill,APPEND,APPEND,0.95,CIT_d751fd0e44e8d15e834481107a3ae4e23c8b452a821c6fd88c0ddf75e7c48c08,smws,1fb42367a94f85ff487ec81bf8bd54066b4a97f478751401fd53e6fcf7803530,fill_null
0fcfaf79-a9e3-50aa-a665-71c43bc9eb8e,region,region,,Islay,APPLY,REPLACE,0.95,CIT_d751fd0e44e8d15e834481107a3ae4e23c8b452a821c6fd88c0ddf75e7c48c08,smws,99fa64414287f94772a0a0194e56ff6778442322584985473cd7d67826f59ab5,fill_null
104887c8-abd6-5fae-becf-239ad918692a,cask_type,cask_type,,olorosa;sherry butt,APPEND,APPEND,0.95,CIT_4427152a0412478956306e3696001760df57621aede97907c7ade86447a477c2,smws,14ca9c819fde0daa2e491b3d4cda96298712780a92a073f13b90204fb44e15bf,fill_null
104887c8-abd6-5fae-becf-239ad918692a,region,region,,Highland,APPLY,REPLACE,0.95,CIT_4427152a0412478956306e3696001760df57621aede97907c7ade86447a477c2,smws,88ab1e963ab05bfae7d75127ff345797600faedd2fcfcc2cef84b1ad7aff68ff,fill_null
10a9c185-23ed-5ff8-bc16-fb93438afa02,cask_type,cask_type,,hogshead;refill,APPEND,APPEND,0.95,CIT_39c5ff5f00b48d94fbae474a9235beb9a36edac326093b49b37853d039572599,smws,bf8ce2a86eb52f8eadf3003389e7267cf9b9fc8d0f5ccbfb21e1bc04992c4696,fill_null
10a9c185-23ed-5ff8-bc16-fb93438afa02,region,region,,Speyside,APPLY,REPLACE,0.95,CIT_39c5ff5f00b48d94fbae474a9235beb9a36edac326093b49b37853d039572599,smws,c22ef9339e3dac01f0e4cca28a678b346645a3ce55058ead9275d22d73a87f19,fill_null
10b6adca-257b-5eeb-a9d0-747a44a007f6,cask_type,cask_type,,first-fill barrel,APPEND,APPEND,0.95,CIT_1f8bf0495cee6216ed1de96c0e537f79eea1ef103811eb783d3f34052f5fdfa5,smws,5c3bcf1f7d46886cf2271e85c11d2a845cc6f407a85b5736728b2f07c505a128,fill_null
10b6adca-257b-5eeb-a9d0-747a44a007f6,region,region,,Speyside,APPLY,REPLACE,0.95,CIT_1f8bf0495cee6216ed1de96c0e537f79eea1ef103811eb783d3f34052f5fdfa5,smws,319384fec671deda54c1b9154e416e57ec8ccfa4d0689fb818e7c0f4f28ff53d,fill_null
10d0f418-ac1c-5558-a884-3a2d5319526b,cask_type,cask_type,,refill,APPEND,APPEND,0.95,CIT_2b8897ab7da1d7393866e3e7545f7648af74461e510f011b87c75f5c1ab5c685,smws,fc56319cbeff8836bf576aa82c0130779c528f613b5d2e9c78c1cef6116903fe,fill_null
10d0f418-ac1c-5558-a884-3a2d5319526b,region,region,,Highland,APPLY,REPLACE,0.95,CIT_2b8897ab7da1d7393866e3e7545f7648af74461e510f011b87c75f5c1ab5c685,smws,3e7fbf51337f1e635f05cf70455e3e580ce7fabae639c6defaf3241c45b50450,fill_null
10e9d25e-fd53-5de8-8ed4-dc2a3d1251cb,cask_type,cask_type,,hogshead;refill,APPEND,APPEND,0.95,CIT_5855c137528f1f36822d1b3856b87f18f5156fde612cae5dac374c0a9a3de756,smws,0f3695467712ac2b04e779197da6a0162a9a8ba9b5a19bbc1ea7809a9ba7bebe,fill_null
10e9d25e-fd53-5de8-8ed4-dc2a3d1251cb,region,region,,Speyside,APPLY,REPLACE,0.95,CIT_5855c137528f1f36822d1b3856b87f18f5156fde612cae5dac374c0a9a3de756,smws,3d2557d5e792bec13af9161e4ca7e24ec7b11808db77895eec46528e733476d2,fill_null
116dcdfc-c858-5bfd-aa9d-d3a78211ff7a,cask_type,cask_type,,butt;sherry butt,APPEND,APPEND,0.95,CIT_409cd4b949e22649e72fdc4a70fc1a15763dcdd18a53e22ffc150489dd76e5fd,smws,4ea6902d9f4cf32f79bc525bd9f93c82574bd886189102bba92cd90e0bfb9e48,fill_null
