raw_name,age_raw,age,vintage,no_age_statement,abv,historical_menu_price,is_cask_strength,general_note,page_number,source_file,source_type,source_confidence,raw_line,best_match,match_score,review_reason,db_age,db_abv,record_id,typo_candidate,suggested_correction,matched_whisky_id,matched_master_name,match_status
Glen Mhor,25yo,25.0,,False,40,38,False,Glenmorangie  Quinta Ruban 12yo 46% 6. Glenmorangie 18yo 43% 12. Glenmorangie Astar 57.1% 10. Glenmorangie Lasanta 12yo 46% 6. Glen Moray no statement 40% Glen Moray 10yo 40% Glen Moray 12yo 40% Glen Moray 15yo 40% 11. Glen Ord 5yo 40% 17. Glen Ord 12yo 43% 8. Glen Ord 1998/10yo 57.9% 7. Glenrothes 8yo 40% Glenrothes Select Reserve no statement 43% 6. Glen Scotia (Campbeltown) 12yo 40% Glen Spey (CS) 1981/15yo 62.2% 15. Glen Spey 1985 43% 11. Glentauchers 1979 40% 10. Glentauchers 1991 43% 9. Glentrommie 12yo 40% 8.,8,The_Malt_List.pdf,historical_bar_menu,medium,Glen Mhor,Glen Moray 16yo,14,No close match found,,,,,,W001407,lot 40,REJECTED
Glentrommie,17yo,17.0,,False,40,9,False,,9,The_Malt_List.pdf,historical_bar_menu,medium,Glentrommie,Glenrothes 25yo,14,No close match found,,,,,,W001407,lot 40,REJECTED
Glenturret,1992/15yo,15.0,1992.0,False,43,9,False,,9,The_Malt_List.pdf,historical_bar_menu,medium,Glenturret,Glenturret 10yo,14,No close match found,,,,,,W001407,lot 40,REJECTED
Hakushu (Japan),12yo,12.0,,False,43.5,8,False,Hazelburn (Campbeltown) 8yo 46% 6. Highland Park (Orkney) 12yo 40% ‘Scotland’s most northerly distillery in Orkney. The 12 yo is a great introduction to malt whisky with a smooth and smoky sweetness to it.’ MK,9,The_Malt_List.pdf,historical_bar_menu,medium,Hakushu (Japan),Hakushu NAS,14,No close match found,,,,,,W001407,lot 40,REJECTED
Highland Park,18yo,18.0,,False,43,9,False,,9,The_Malt_List.pdf,historical_bar_menu,medium,Highland Park,Highland Park 25yo,14,Fuzzy match threshold,25.0,,WDB-00032,,,W001407,lot 40,REJECTED
Highland Park,1991/17yo,17.0,1991.0,False,46,14,False,,9,The_Malt_List.pdf,historical_bar_menu,medium,Highland Park,Highland Park 25yo,14,Fuzzy match threshold,25.0,,WDB-00032,,,W001407,lot 40,REJECTED
Hillside,1971/25yo,25.0,1971.0,False,60.1,60,True,The most expensive dram currently served in the Canny Man’s. The distillery located near Montrose was closed permenantly in 1985 making bottles of Hillside extremely rare.’ MK,9,The_Malt_List.pdf,historical_bar_menu,medium,Hillside,Willie's,14,No close match found,,,,,,W001407,lot 40,REJECTED
Imperial,1979,,1979.0,False,40,15,False,,9,The_Malt_List.pdf,historical_bar_menu,medium,Imperial,Amrut Herald,14,No close match found,,,,,,W001407,lot 40,REJECTED
Inchgower,1993,,1993.0,False,43,7,False,,9,The_Malt_List.pdf,historical_bar_menu,medium,Inchgower,Inchgower 14yo (F&F),14,No close match found,,,,,,W001407,lot 40,REJECTED
Invergordon,10yo,10.0,,False,40,8,False,,9,The_Malt_List.pdf,historical_bar_menu,medium,Invergordon,Golden Distillery,14,No close match found,,,,,,W001407,lot 40,REJECTED
Inverleven,1991,,1991.0,False,40,8,False,,9,The_Malt_List.pdf,historical_bar_menu,medium,Inverleven,Glenlivet Cipher,14,No close match found,,,,,,W001407,lot 40,REJECTED
Jura,16yo,16.0,,False,40,7,False,,9,The_Malt_List.pdf,historical_bar_menu,medium,Jura,Jura 21yo,14,No close match found,,,,,,W001407,lot 40,REJECTED
Jura Superstition,no statement,,,True,43,6,False,,9,The_Malt_List.pdf,historical_bar_menu,medium,Jura Superstition,Jura Superstition,14,ABV mismatch or missing,,,WDB-01074,,,W001407,lot 40,REJECTED
Jonnie Walker,15yo,15.0,,False,43,8,False,,9,The_Malt_List.pdf,historical_bar_menu,medium,Jonnie Walker,Johnnie Walker Red Label,14,No close match found,,,,True,Johnnie Walker,W001407,lot 40,REJECTED
Knockando,12yo,12.0,,False,43,6,False,,9,The_Malt_List.pdf,historical_bar_menu,medium,Knockando,Knockando 12yo (All Vintages),14,No close match found,,,,,,W001407,lot 40,REJECTED
