uuid_whisky_id,matched_w_id,match_type,confidence_score,match_basis,distillery_id,age,abv
afb23bc7-b657-52da-8f88-85bad84dcd45,W000015,weak,0.6,distillery_id(only),D0012,21.0,50.8
a2056777-c982-5377-ad51-7a60dfb52d20,W000015,weak,0.6,distillery_id(only),D0012,9.0,58.0
2d17e8d5-fac6-5d15-83c0-ae17f92e402f,W000015,weak,0.6,distillery_id(only),D0012,11.0,58.4
49cb6612-1208-5a5f-b429-17b5c8af8d5c,W000015,weak,0.6,distillery_id(only),D0012,16.0,56.6
bb387b06-8ae8-5b78-adad-082101031288,W000015,weak,0.6,distillery_id(only),D0012,9.0,59.1
cab6a49d-1102-5a3c-a3d5-42504490debd,W000015,weak,0.6,distillery_id(only),D0012,23.0,48.4
40519583-3c03-51c4-8259-a16b15634056,W000015,weak,0.6,distillery_id(only),D0012,15.0,61.2
a73fc26d-3117-5d0a-9e49-a8d7de9941d9,W000015,weak,0.6,distillery_id(only),D0012,15.0,60.5
a1b32118-e956-521b-8a60-d5dc187b5f49,W000053,weak,0.6,distillery_id(only),D0012,21.0,46.4
417aac1b-cbd2-5e52-8330-ca1f31547bcd,W000015,weak,0.6,distillery_id(only),D0012,15.0,61.0
9eed4bf3-025b-52d6-94aa-6a07e8433212,W000015,weak,0.6,distillery_id(only),D0012,16.0,57.9
bc24bcd1-1afb-583a-bc37-0e841c7dfcd9,W000015,weak,0.6,distillery_id(only),D0012,14.0,57.2
7d63ad9e-bce9-5249-8352-29a3cce2ac7e,W000015,weak,0.6,distillery_id(only),D0012,14.0,58.8
9fddc56d-264c-5c5e-87df-c0c9f37e941a,W000015,weak,0.6,distillery_id(only),D0012,14.0,58.4
a1e1e40f-fd49-5cda-b8da-6055bc6696da,W000015,weak,0.6,distillery_id(only),D0012,24.0,50.8
9371a2f2-e061-5c4d-9a68-9c62625d1520,W000015,weak,0.6,distillery_id(only),D0012,16.0,59.4
dec91460-c3a1-54b8-9375-20972a55f20d,W000015,weak,0.6,distillery_id(only),D0012,15.0,56.9
82168ee9-dd26-564a-a37d-71802cfb9a50,W000015,weak,0.6,distillery_id(only),D0012,17.0,58.9
bddb9ac9-35a3-5f53-9c5c-dcf1f3081c69,W000015,weak,0.6,distillery_id(only),D0012,18.0,55.2
41299eec-9a5b-53bc-8c94-52ed6139f017,W000015,weak,0.6,distillery_id(only),D0012,16.0,55.6
59774bf2-8a22-52ba-ba4c-45a2321293ea,W000015,weak,0.6,distillery_id(only),D0012,13.0,54.3
cc764bc3-47c4-5780-90bb-246147cbd070,W000015,weak,0.6,distillery_id(only),D0012,19.0,54.2
a2e5065b-6368-5eab-8613-06393762ff3e,W000015,weak,0.6,distillery_id(only),D0012,16.0,58.3
7ecbfeb2-478b-5b11-b6d7-23e768d070a7,W000015,weak,0.6,distillery_id(only),D0012,16.0,56.4
81eda28f-9ccc-5421-a409-d523aa3a6e2a,W000015,weak,0.6,distillery_id(only),D0012,26.0,51.3
b5f68bce-5f42-59c4-873b-2fbfa0192d68,W000015,weak,0.6,distillery_id(only),D0012,16.0,
6173d1c2-a8f7-5a2e-9aef-a6a9dddc8ee0,W000015,weak,0.6,distillery_id(only),D0012,26.0,50.9
7e2dd5b9-7997-55e0-ba95-2561e478d29d,W000015,weak,0.6,distillery_id(only),D0012,17.0,56.5
35cca668-e02e-5e6f-9e57-0609cc73d833,W000015,weak,0.6,distillery_id(only),D0012,16.0,55.9
5e380fac-f8d0-5272-9055-951bb15ca470,W000015,weak,0.6,distillery_id(only),D0012,19.0,58.1
dcc896ed-ac13-58d9-b6e5-7a762692414e,W000015,weak,0.6,distillery_id(only),D0012,15.0,56.3
f8de9132-49dc-5638-acae-f78c8e6986e2,W000015,weak,0.6,distillery_id(only),D0012,18.0,55.8
02c1442c-b077-50ba-80f2-17d811a6d0d2,W000015,weak,0.6,distillery_id(only),D0012,20.0,53.1
5d3f8399-d8ce-5f0a-b597-db701aefb0f6,W000015,weak,0.6,distillery_id(only),D0012,14.0,54.3
0b9d77e4-659a-59ee-a1a0-c30bc035b351,W000015,weak,0.6,distillery_id(only),D0012,22.0,48.3
ba40e478-5e37-5261-aa3b-e60ef1448470,W000015,weak,0.6,distillery_id(only),D0012,19.0,55.2
e9b197c5-6031-5f77-b1d8-2600e939e8c9,W000566,weak,0.6,distillery_id(only),D0015,12.0,60.9
4c685257-4bde-5774-9f50-5f092bf11000,W000018,weak,0.6,distillery_id(only),D0015,20.0,55.5
1d39566b-4dfb-5b09-b1de-58725679f648,W000886,weak,0.531,distillery_id+name_fuzzy_weak(0.58),D0015,11.0,59.9
2ee98027-889e-5d6f-bf3f-8963e0093546,W000886,weak,0.531,distillery_id+name_fuzzy_weak(0.58),D0015,10.0,60.4
9d360b99-ea16-5ce8-b2bc-23afa6f5fae2,W000886,weak,0.531,distillery_id+name_fuzzy_weak(0.58),D0015,12.0,54.7
9cff7a12-1565-5738-bc82-65b68a36d95a,W000886,weak,0.531,distillery_id+name_fuzzy_weak(0.58),D0015,14.0,59.8
72edfaa3-ffdc-5814-ab91-5470d61a38aa,W000886,weak,0.531,distillery_id+name_fuzzy_weak(0.58),D0015,13.0,57.2
460c18d5-bf31-5734-b56d-298b407cc7da,W000886,weak,0.531,distillery_id+name_fuzzy_weak(0.58),D0015,13.0,56.7
def19358-bdfa-5209-a6bb-86299e561d10,W000886,weak,0.531,distillery_id+name_fuzzy_weak(0.58),D0015,14.0,59.8
881baad2-7b08-54a4-ac2f-67d0c35f93af,W000886,weak,0.531,distillery_id+name_fuzzy_weak(0.58),D0015,13.0,59.6
fd9965cc-f6be-5065-aa7e-710399f0afee,W000886,weak,0.531,distillery_id+name_fuzzy_weak(0.58),D0015,11.0,57.3
01d92b9a-a1a6-5f29-a10b-0011a4f51117,W000018,weak,0.6,distillery_id(only),D0015,11.0,60.8
489bcdd6-48d3-52f4-b288-234c1d30a9dc,W000017,weak,0.6,distillery_id(only),D0014,5.0,53.9
1d6101de-f1a8-5767-9f46-789a3117d799,W000017,weak,0.6,distillery_id(only),D0014,24.0,51.4
d0bf10ba-7a56-5074-b833-08e374cec988,W000017,weak,0.6,distillery_id(only),D0014,25.0,49.4
0b82dcc4-3f08-5be6-952e-d8b2cac072e3,W000467,weak,0.6,distillery_id(only),D0014,13.0,58.2
10e9d25e-fd53-5de8-8ed4-dc2a3d1251cb,W000450,weak,0.6,distillery_id(only),D0014,13.0,57.6
247ccbeb-08fe-5417-818f-d8091f1c01f1,W000017,weak,0.6,distillery_id(only),D0014,8.0,62.1
