uuid_whisky_id,distillery_id,age,abv,name,reason
806765a7-c962-5e8b-a05a-442a8ac49e72,D1834,12.0,,Balmenach SMWS 48.54 - Delicious!,distillery_id_absent_from_W_set
db0e5646-1718-57e5-adc8-103b3cea1870,D2104,26.0,59.1,St. Magdalene SMWS 49.10 - A Royal Aperitif,distillery_id_absent_from_W_set
c3bb66dc-0665-58f9-9784-933c81a44a84,D1898,10.0,60.0,Royal Brackla SMWS 55.19 - SMWS 55.19,distillery_id_absent_from_W_set
21ddd7df-7535-50ef-8230-4845eeac0f53,D1898,12.0,58.8,Royal Brackla SMWS 55.20 - SMWS 55.20,distillery_id_absent_from_W_set
ae79c455-2c52-5e0c-9c7f-eb7086a1ae9c,D1898,12.0,59.1,Royal Brackla SMWS 55.21 - SMWS 55.21,distillery_id_absent_from_W_set
5bb56175-5b79-5232-917c-8c9fa5d87186,D1898,20.0,55.1,Royal Brackla SMWS 55.23 - SMWS 55.23,distillery_id_absent_from_W_set
b20cea86-25f7-52af-8482-937bb6f78452,D1898,14.0,57.3,Royal Brackla SMWS 55.26 - SMWS 55.26,distillery_id_absent_from_W_set
338ee651-18bf-5228-8b30-50135e91e0b8,D1898,14.0,,Royal Brackla SMWS 55.28 - SMWS 55.28,distillery_id_absent_from_W_set
b3177a1c-75c5-5146-b929-aa12686e65c4,D1898,17.0,58.3,Royal Brackla SMWS 55.31 - SMWS 55.31,distillery_id_absent_from_W_set
1360d5cd-1c8a-5e10-b2ae-027aa400c34d,D1906,25.0,,Strathisla SMWS 58.15 - SMWS 58.15,distillery_id_absent_from_W_set
94eb839f-67b1-5f79-83c4-cc4e443957a7,D1906,10.0,,"Strathisla SMWS 58.17 - NOT SHAKEN, NOT STIRRED",distillery_id_absent_from_W_set
d1c51c06-1f97-5233-bc06-43685e06e37f,D1906,10.0,,Strathisla SMWS 58.18 - SMWS 58.18,distillery_id_absent_from_W_set
0b396ef6-d42a-5696-b73d-6ffc6167d19f,D1906,28.0,49.3,Strathisla SMWS 058.8 - Sid Viscous,distillery_id_absent_from_W_set
fe6f69c1-6d2f-542c-ac5c-da11d61f070f,D1909,17.0,59.0,Teaninich SMWS 59.21 - SMWS 59.21,distillery_id_absent_from_W_set
b70ae197-6588-5cc2-81c1-8a2813089154,D1909,20.0,58.9,"Teaninich SMWS 059.26 - Sweet, Buttery and Malty",distillery_id_absent_from_W_set
314b3fcb-a384-57ac-8293-0ace3401a8dc,D1909,20.0,53.9,Teaninich SMWS 059.29 - Honey and Lemons,distillery_id_absent_from_W_set
