whisky_id,whisky_name,distillery_name,category,region,country,age_statement,source_name,source_url,raw_tasting_notes,raw_flavor_tags,fruity_score,sweet_score,smoky_score,spicy_score,woody_score,confidence,match_method,review_status,quality_flags
W001052,ardmore traditional cask,Ardmore,Malt,Highland,Unknown,NAS,original_production_data,https://www.whisky.com/whisky-database/details/W001052.html,Raw notes matched from historical dataset,"['bottle_name', 'bottle_name_clean', 'fruity', 'sweet', 'smoky']",0.0,4.0,0.0,0.0,1.0,medium,fuzzy_token,manual_review,ok
W001054,high coast (box) dalvve,Box,Malt,Unknown,Unknown,NAS,Master of Malt / TWE / Whiskybase,,,[],0.0,0.0,0.0,0.0,0.0,none,none,manual_review,zero_flavor_vector|entity_normalization_review
W001055,spirit of hven seven stars no. 3 phecda,Hven,Malt,Unknown,Unknown,NAS,Master of Malt / TWE / Whiskybase,,,[],0.0,0.0,0.0,0.0,0.0,none,none,manual_review,zero_flavor_vector
W001058,teerenpeli suomi 100 juhlaviski,Teerenpeli,Malt,Unknown,Unknown,NAS,Master of Malt / TWE / Whiskybase,,,[],0.0,0.0,0.0,0.0,0.0,none,none,manual_review,zero_flavor_vector
W001060,glenfiddich fire & cane experimental series no. 4,Glenfiddich,Malt,Speyside,Unknown,NAS,original_production_data,https://www.whisky.com/whisky-database/details/W001060.html,Raw notes matched from historical dataset,"['bottle_name', 'bottle_name_clean', 'fruity', 'sweet', 'smoky']",5.0,6.0,0.0,0.0,1.0,medium,fuzzy_token,manual_review,ok
W001062,bowmore 12yo,Bowmore,Malt,Islay,Unknown,12yo,original_production_data,https://www.whisky.com/whisky-database/details/W001062.html,Raw notes matched from historical dataset,"['bottle_name', 'bottle_name_clean', 'fruity', 'sweet', 'smoky']",2.0,3.0,0.0,1.0,0.0,medium,fuzzy_token,manual_review,ok
W001063,bowmore 17yo,Bowmore,Malt,Islay,Unknown,17yo,original_production_data,https://www.whisky.com/whisky-database/details/W001063.html,Raw notes matched from historical dataset,"['bottle_name', 'bottle_name_clean', 'fruity', 'sweet', 'smoky']",2.0,3.0,0.0,1.0,0.0,medium,fuzzy_token,manual_review,ok
W001065,fettercairn fior,Etter,Malt,Unknown,Unknown,NAS,Master of Malt / TWE / Whiskybase,,,[],0.0,0.0,0.0,0.0,0.0,none,none,manual_review,zero_flavor_vector
W001068,glen scotia 12yo,Glen Scotia,Malt,Campbeltown,Unknown,12yo,Master of Malt / TWE / Whiskybase,,,[],0.0,0.0,0.0,0.0,0.0,none,none,manual_review,zero_flavor_vector
W001069,bowmore no.1,Bowmore,Malt,Islay,Unknown,NAS,original_production_data,https://www.whisky.com/whisky-database/details/W001069.html,Raw notes matched from historical dataset,"['bottle_name', 'bottle_name_clean', 'fruity', 'sweet', 'smoky']",2.0,3.0,0.0,1.0,0.0,medium,fuzzy_token,manual_review,ok
W001071,bowmore gold reef,Bowmore,Malt,Islay,Unknown,NAS,original_production_data,https://www.whisky.com/whisky-database/details/W001071.html,Raw notes matched from historical dataset,"['bottle_name', 'bottle_name_clean', 'fruity', 'sweet', 'smoky']",2.0,3.0,0.0,1.0,0.0,medium,fuzzy_token,manual_review,ok
W001073,penderyn peated,Penderyn,Malt,Unknown,Unknown,NAS,Master of Malt / TWE / Whiskybase,,,[],0.0,0.0,0.0,0.0,0.0,none,none,manual_review,zero_flavor_vector
W001076,penderyn celt,Penderyn,Malt,Unknown,Unknown,NAS,Master of Malt / TWE / Whiskybase,,,[],0.0,0.0,0.0,0.0,0.0,none,none,manual_review,zero_flavor_vector
W001078,spirit of hven seven stars no. 1 dubhe,Hven,Malt,Unknown,Unknown,NAS,Master of Malt / TWE / Whiskybase,,,[],0.0,0.0,0.0,0.0,0.0,none,none,manual_review,zero_flavor_vector
W001079,bowmore small batch,Bowmore,Malt,Islay,Unknown,NAS,original_production_data,https://www.whisky.com/whisky-database/details/W001079.html,Raw notes matched from historical dataset,"['bottle_name', 'bottle_name_clean', 'fruity', 'sweet', 'smoky']",2.0,3.0,0.0,1.0,0.0,medium,fuzzy_token,manual_review,ok
W001082,st george's chapter 9 (peated),St. George'S Distillery,Malt,Unknown,Unknown,NAS,Master of Malt / TWE / Whiskybase,,,[],0.0,0.0,0.0,0.0,0.0,none,none,manual_review,zero_flavor_vector
W001089,glenfiddich 12yo caoran reserve,Glenfiddich,Malt,Speyside,Unknown,12yo,original_production_data,https://www.whisky.com/whisky-database/details/W001089.html,Raw notes matched from historical dataset,"['bottle_name', 'bottle_name_clean', 'fruity', 'sweet', 'smoky']",5.0,6.0,0.0,0.0,1.0,medium,fuzzy_token,manual_review,ok
W001098,laphroaig 21yo,Laphroaig,Malt,Islay,Unknown,21yo,original_production_data,https://www.whisky.com/whisky-database/details/W001098.html,Raw notes matched from historical dataset,"['bottle_name', 'bottle_name_clean', 'fruity', 'sweet', 'smoky']",2.0,9.0,0.0,1.0,8.0,medium,fuzzy_token,manual_review,ok
W001101,kavalan solist peaty cask,Kavalan,Malt,Unknown,Unknown,NAS,original_production_data,https://www.whisky.com/whisky-database/details/W001101.html,Raw notes matched from historical dataset,"['bottle_name', 'bottle_name_clean', 'fruity', 'sweet', 'smoky']",3.0,7.0,0.0,5.0,4.0,medium,fuzzy_token,manual_review,ok
W001102,laphroaig cairdeas 2015,Laphroaig,Malt,Islay,Unknown,NAS,original_production_data,https://www.whisky.com/whisky-database/details/W001102.html,Raw notes matched from historical dataset,"['bottle_name', 'bottle_name_clean', 'fruity', 'sweet', 'smoky']",2.0,1.0,1.0,1.0,0.0,high,exact,auto_candidate,ok
W001110,amrut peated cask strength,Amrut,Malt,Unknown,Unknown,NAS,original_production_data,https://www.whisky.com/whisky-database/details/W001110.html,Raw notes matched from historical dataset,"['bottle_name', 'bottle_name_clean', 'fruity', 'sweet', 'smoky']",2.0,2.0,0.0,0.0,0.0,high,exact,auto_candidate,ok
W001111,amrut portpipe peated single cask #4668 (2017),Amrut,Malt,Unknown,Unknown,NAS,original_production_data,https://www.whisky.com/whisky-database/details/W001111.html,Raw notes matched from historical dataset,"['bottle_name', 'bottle_name_clean', 'fruity', 'sweet', 'smoky']",1.0,1.0,0.0,0.0,0.0,medium,fuzzy_token,manual_review,ok
W001113,"smogen 8yo (4,8-10/2011)",Smögen Whisky,Malt,Unknown,Unknown,8yo,Master of Malt / TWE / Whiskybase,,,[],0.0,0.0,0.0,0.0,0.0,none,none,manual_review,zero_flavor_vector
W001117,compass box no name,Box,Malt,Unknown,Unknown,NAS,original_production_data,https://www.whisky.com/whisky-database/details/W001117.html,Raw notes matched from historical dataset,"['bottle_name', 'bottle_name_clean', 'fruity', 'sweet', 'smoky']",3.0,0.0,0.0,1.0,0.0,medium,fuzzy_token,manual_review,entity_normalization_review
W001122,laphroaig 18yo,Laphroaig,Malt,Islay,Unknown,18yo,original_production_data,https://www.whisky.com/whisky-database/details/W001122.html,Raw notes matched from historical dataset,"['bottle_name', 'bottle_name_clean', 'fruity', 'sweet', 'smoky']",2.0,9.0,0.0,1.0,8.0,medium,fuzzy_token,manual_review,ok
W001125,compass box no name (all editions),Box,Malt,Unknown,Unknown,NAS,original_production_data,https://www.whisky.com/whisky-database/details/W001125.html,Raw notes matched from historical dataset,"['bottle_name', 'bottle_name_clean', 'fruity', 'sweet', 'smoky']",3.0,0.0,0.0,1.0,0.0,medium,fuzzy_token,manual_review,entity_normalization_review
W001127,compass box peat monster 2014 - 10th anniversary,Box,Malt,Unknown,Unknown,NAS,original_production_data,https://www.whisky.com/whisky-database/details/W001127.html,Raw notes matched from historical dataset,"['bottle_name', 'bottle_name_clean', 'fruity', 'sweet', 'smoky']",3.0,0.0,0.0,1.0,0.0,medium,fuzzy_token,manual_review,entity_normalization_review
W001128,laphroaig cairdeas 2019 triple wood cask strength,Laphroaig,Malt,Islay,Unknown,NAS,original_production_data,https://www.whisky.com/whisky-database/details/W001128.html,Raw notes matched from historical dataset,"['bottle_name', 'bottle_name_clean', 'fruity', 'sweet', 'smoky']",2.0,9.0,0.0,1.0,8.0,medium,fuzzy_token,manual_review,ok
W001130,ichiro's malt chichibu the peated,Chichibu,Malt,Unknown,Unknown,NAS,Master of Malt / TWE / Whiskybase,,,[],0.0,0.0,0.0,0.0,0.0,none,none,manual_review,zero_flavor_vector
W001132,laphroaig cairdeas 2014 amontillado,Laphroaig,Malt,Islay,Unknown,NAS,original_production_data,https://www.whisky.com/whisky-database/details/W001132.html,Raw notes matched from historical dataset,"['bottle_name', 'bottle_name_clean', 'fruity', 'sweet', 'smoky']",7.0,21.0,12.0,7.0,3.0,high,exact,auto_candidate,ok
W001133,smogen single cask (all editions),Smögen Whisky,Malt,Unknown,Unknown,NAS,Master of Malt / TWE / Whiskybase,,,[],0.0,0.0,0.0,0.0,0.0,none,none,manual_review,zero_flavor_vector
W001134,smogen single cask 4yo 7/2011,Smögen Whisky,Malt,Unknown,Unknown,4yo,Master of Malt / TWE / Whiskybase,,,[],0.0,0.0,0.0,0.0,0.0,none,none,manual_review,zero_flavor_vector
