source,source_file,source_row,brand_name,type,owner,distillery,country,whisky_count,link,match_status,matched_id,confidence_score,review_status
whiskynet.pl,brands.csv,15,Ardbeg,Distillery brand,Moët Hennessy,Ardbeg,Scotland,9,https://whiskynet.pl/en/brands/ardbeg,EXACT_MATCH,Ardbeg,1.0,APPROVED
whiskynet.pl,brands.csv,16,Ardmore,Distillery brand,Suntory Global Spirits,Ardmore,Scotland,1,https://whiskynet.pl/en/brands/ardmore,EXACT_MATCH,Ardmore,1.0,APPROVED
whiskynet.pl,brands.csv,17,Ardnahoe,Distillery brand,Hunter Laing & Company,Ardnahoe,Scotland,0,https://whiskynet.pl/en/brands/ardnahoe,EXACT_MATCH,Ardnahoe,1.0,APPROVED
whiskynet.pl,brands.csv,18,Ardnamurchan,Distillery brand,Adelphi Distillery Co,Ardnamurchan,Scotland,0,https://whiskynet.pl/en/brands/ardnamurchan,NEW,,1.0,MANUAL_REVIEW
whiskynet.pl,brands.csv,19,Ardross,Distillery brand,Greenwood Distillers,Ardross,Scotland,0,https://whiskynet.pl/en/brands/ardross,NEW,,1.0,MANUAL_REVIEW
whiskynet.pl,brands.csv,20,Arran,Distillery brand,Isle of Arran Distillers Ltd.,Lochranza (Isle of Arran Distillery),Scotland,8,https://whiskynet.pl/en/brands/arran,NEW,,1.0,MANUAL_REVIEW
whiskynet.pl,brands.csv,21,Asaka,Distillery brand,Sasanokawa Shuzo,Asaka Distillery,Japan,0,https://whiskynet.pl/en/brands/asaka,NEW,,1.0,MANUAL_REVIEW
whiskynet.pl,brands.csv,22,Athrú,Official brand,Sazerac Company,—,Ireland,0,https://whiskynet.pl/en/brands/athru,NEW,,1.0,MANUAL_REVIEW
whiskynet.pl,brands.csv,23,Auchentoshan,Distillery brand,Suntory Global Spirits,Auchentoshan,Scotland,4,https://whiskynet.pl/en/brands/auchentoshan,EXACT_MATCH,Auchentoshan,1.0,APPROVED
whiskynet.pl,brands.csv,24,Auchroisk,Distillery brand,Diageo,Auchroisk,Scotland,0,https://whiskynet.pl/en/brands/auchroisk,NEW,,1.0,MANUAL_REVIEW
whiskynet.pl,brands.csv,25,Bain’s Cape Mountain,Distillery brand,Distell,James Sedgwick Distillery,South Africa,1,https://whiskynet.pl/en/brands/bains-cape-mountain,NEW,,1.0,MANUAL_REVIEW
whiskynet.pl,brands.csv,26,Baker's,Official brand,Suntory Global Spirits,—,—,0,https://whiskynet.pl/en/brands/bakers,FUZZY_MATCH,baker’s,0.8571,MANUAL_REVIEW
whiskynet.pl,brands.csv,27,Balblair,Distillery brand,Inver House Distillers,Balblair,Scotland,2,https://whiskynet.pl/en/brands/balblair,EXACT_MATCH,Balblair,1.0,APPROVED
whiskynet.pl,brands.csv,28,Ballantine's,Official brand,Chivas Brothers,—,Scotland,8,https://whiskynet.pl/en/brands/ballantines,FUZZY_MATCH,ballantine’s,0.9167,MANUAL_REVIEW
whiskynet.pl,brands.csv,29,Ballykeefe,Distillery brand,Familie Ging,Ballykeefe Distillery,Ireland,0,https://whiskynet.pl/en/brands/ballykeefe,NEW,,1.0,MANUAL_REVIEW
whiskynet.pl,brands.csv,30,Balvenie,Distillery brand,William Grant & Sons,Balvenie,Scotland,4,https://whiskynet.pl/en/brands/balvenie,EXACT_MATCH,Balvenie,1.0,APPROVED
whiskynet.pl,brands.csv,31,Bearface,Official brand,Mark Anthony Brands Ltd.,—,Canada,0,https://whiskynet.pl/en/brands/bearface,NEW,,1.0,MANUAL_REVIEW
whiskynet.pl,brands.csv,32,Bearface Spirits,Independent bottler,Mark Anthony Brands Ltd.,—,Canada,1,https://whiskynet.pl/en/brands/bearface-spirits,NEW,,1.0,MANUAL_REVIEW
whiskynet.pl,brands.csv,33,Ben Bracken,Official brand,Lidl,—,Germany,0,https://whiskynet.pl/en/brands/ben-bracken,NEW,,1.0,MANUAL_REVIEW
whiskynet.pl,brands.csv,34,Ben Nevis,Official brand,Nikka Whisky Distilling Co Ltd,Ben Nevis,Scotland,0,https://whiskynet.pl/en/brands/ben-nevis,NEW,,1.0,MANUAL_REVIEW
whiskynet.pl,brands.csv,35,"Benbecula, MacMillan Spirits",Distillery brand,Angus A. MacMillan,Benbecula,Scotland,0,https://whiskynet.pl/en/brands/benbecula-macmillan-spirits,NEW,,1.0,MANUAL_REVIEW
whiskynet.pl,brands.csv,36,BenRiach,Distillery brand,Brown-Forman,Benriach Distillery,Scotland,4,https://whiskynet.pl/en/brands/benriach,FUZZY_MATCH,benromach,0.8235,MANUAL_REVIEW
whiskynet.pl,brands.csv,37,Benrinnes,Distillery brand,Diageo,Benrinnes,Scotland,0,https://whiskynet.pl/en/brands/benrinnes,EXACT_MATCH,Benrinnes,1.0,APPROVED
whiskynet.pl,brands.csv,38,Benromach,Distillery brand,Gordon & MacPhail,Benromach Distillery,Scotland,3,https://whiskynet.pl/en/brands/benromach,EXACT_MATCH,Benromach,1.0,APPROVED
whiskynet.pl,brands.csv,39,Black Bottle,Official brand,Ian Macleod Distillers,—,Scotland,2,https://whiskynet.pl/en/brands/black-bottle,FUZZY_MATCH,black butte,0.8696,MANUAL_REVIEW
whiskynet.pl,brands.csv,40,Black Bull,Official brand,Duncan Taylor Scotch Whisky Ltd.,—,Scotland,1,https://whiskynet.pl/en/brands/black-bull,NEW,,1.0,MANUAL_REVIEW
whiskynet.pl,brands.csv,41,Black Ram,Official brand,Diageo,—,India,1,https://whiskynet.pl/en/brands/black-bam,NEW,,1.0,MANUAL_REVIEW
