pattern_matched,filename,full_path,row_count,columns,size_bytes
*.zip,flutter_windows_3.27.1-stable.zip,C:\Users\eltun\Downloads\flutter_windows_3.27.1-stable.zip,,,1045850748
*.7z,Fly Corp 1.1.6.7z,C:\Users\eltun\Downloads\Fly Corp 1.1.6.7z,,,81063174
*.zip,fm26-essential-views.zip,C:\Users\eltun\Downloads\fm26-essential-views.zip,,,5081
*.zip,fm26-real-names-fix-v261023.zip,C:\Users\eltun\Downloads\fm26-real-names-fix-v261023.zip,,,95022
*.zip,FM26KnapSPs.zip,C:\Users\eltun\Downloads\FM26KnapSPs.zip,,,38984
*.zip,footbe-logos-2024-v4.0.zip,C:\Users\eltun\Downloads\footbe-logos-2024-v4.0.zip,,,41972455
*.zip,freedom-training-schedules-fm26.zip,C:\Users\eltun\Downloads\freedom-training-schedules-fm26.zip,,,10122
*.zip,idrinkscotch_data_bundle.zip,C:\Users\eltun\Downloads\idrinkscotch_data_bundle.zip,,,39356
*.zip,JonasMorais FM26 Training Schedules v1.4.zip,C:\Users\eltun\Downloads\JonasMorais FM26 Training Schedules v1.4.zip,,,2489
*.rar,Logos TCM26.rar,C:\Users\eltun\Downloads\Logos TCM26.rar,,,4352104866
*.zip,Makine_Ogrenmesi_Kodlar.zip,C:\Users\eltun\Downloads\Makine_Ogrenmesi_Kodlar.zip,,,809812
*.zip,mike's best training schedules fm26.zip,C:\Users\eltun\Downloads\mike's best training schedules fm26.zip,,,4798
*.rar,News.Tower.Build.21396289.Portable.rar,C:\Users\eltun\Downloads\News.Tower.Build.21396289.Portable.rar,,,411994190
*.rar,News.Tower.Build.21396289.Windows-CSF.rar,C:\Users\eltun\Downloads\News.Tower.Build.21396289.Windows-CSF.rar,,,396674462
*.zip,News.Tower.v1.0.496.RexaGames.com.zip,C:\Users\eltun\Downloads\News.Tower.v1.0.496.RexaGames.com.zip,,,486982464
*.zip,ookla-speedtest-1.2.0-win64.zip,C:\Users\eltun\Downloads\ookla-speedtest-1.2.0-win64.zip,,,974003
*.zip,Photos-3-001.zip,C:\Users\eltun\Downloads\Photos-3-001.zip,,,5531398
*.zip,Profesyonel_Soru_Bankalari_Word_Paketi.zip,C:\Users\eltun\Downloads\Profesyonel_Soru_Bankalari_Word_Paketi.zip,,,297318
*.zip,release-0.7.3.zip,C:\Users\eltun\Downloads\release-0.7.3.zip,,,360145
*.zip,RS_ASIO_GUI_v0.2.zip,C:\Users\eltun\Downloads\RS_ASIO_GUI_v0.2.zip,,,10745
*.zip,scotch_review2020.csv.zip,C:\Users\eltun\Downloads\scotch_review2020.csv.zip,,,395913
*.zip,Signature-trial.zip,C:\Users\eltun\Downloads\Signature-trial.zip,,,1018270
*.zip,Steam.Auto.Cracker.GUI.v2.2.1.zip,C:\Users\eltun\Downloads\Steam.Auto.Cracker.GUI.v2.2.1.zip,,,17332829
*.zip,SteamAutoCrack.zip,C:\Users\eltun\Downloads\SteamAutoCrack.zip,,,31928649
*.zip,Syne.zip,C:\Users\eltun\Downloads\Syne.zip,,,498177
*.zip,takeout-20260425T111329Z-001.zip,C:\Users\eltun\Downloads\takeout-20260425T111329Z-001.zip,,,48548
*.zip,takeout-20260425T111329Z-3-001.zip,C:\Users\eltun\Downloads\takeout-20260425T111329Z-3-001.zip,,,21306
*.zip,Teletip-ACP44432573.zip,C:\Users\eltun\Downloads\Teletip-ACP44432573.zip,,,7898150
*.zip,Teletip-ACP44432909.zip,C:\Users\eltun\Downloads\Teletip-ACP44432909.zip,,,10538745
*.zip,tportable-x64.5.1.7.zip,C:\Users\eltun\Downloads\tportable-x64.5.1.7.zip,,,56328353
*.zip,Victoria537.zip,C:\Users\eltun\Downloads\Victoria537.zip,,,1577599
*.rar,War1ta5le-Update1.0.45961-elamigos.rar,C:\Users\eltun\Downloads\War1ta5le-Update1.0.45961-elamigos.rar,,,122613261
*.zip,Zovo.ink_Archive_win64_448087.zip,C:\Users\eltun\Downloads\Zovo.ink_Archive_win64_448087.zip,,,785066480
*.rar,rg-apa03.rar,C:\Users\eltun\Downloads\AOMEI.Partition.Assistant.v10.3.Bootable.iSO-rG\rg-apa03.rar,,,15000000
*.rar,rg-eum18.rar,C:\Users\eltun\Downloads\EaseUS.Partition.Master.v18.WinPE.iSO-rG\rg-eum18.rar,,,15000000
*.rar,Esca1pefDuc1kov-1.3.13-elamigos.rar,C:\Users\eltun\Downloads\Esca1pefDuc1kov-1.3.13-elamigos\Esca1pefDuc1kov-1.3.13-elamigos.rar,,,743000420
*.7z,Goldberg.7z,C:\Users\eltun\Downloads\sac\TEMP\Goldberg.7z,,,11171806
*.db,SteamAppList.db,C:\Users\eltun\Downloads\sac\TEMP\SteamAppList.db,,,4190208
*.zip,Arrow36backup1597347489408.zip,C:\Users\eltun\OneDrive\ArrowBackup\Arrow36backup1597347489408.zip,,,4248859
*.sqlite,launcher-v2.sqlite,C:\Users\eltun\OneDrive\Belgeler\Crusader Kings III\launcher-v2.sqlite,,,90112
*.zip,4b22ef00-ec79-11ea-843e-7b7130948d68.zip,C:\Users\eltun\OneDrive\Belgeler\Crusader Kings III\mod\pdx_11367_75\4b22ef00-ec79-11ea-843e-7b7130948d68.zip,,,12300064
*.zip,4b22ef00-ec79-11ea-843e-7b7130948d68.zip,C:\Users\eltun\OneDrive\Belgeler\Paradox Interactive\Crusader Kings III\mod\pdx_11367_75\4b22ef00-ec79-11ea-843e-7b7130948d68.zip,,,12300064
*.zip,vize evrak.zip,C:\Users\eltun\OneDrive\Desktop\vize evrak.zip,,,2230713
*.zip,archive.zip,C:\Users\eltun\OneDrive\Desktop\2024 Bahar\archive.zip,,,479750
*.db,cert8.db,C:\Users\eltun\OneDrive\Logitech\browser - logitech\cert8.db,,,65536
*.db,key3.db,C:\Users\eltun\OneDrive\Logitech\browser - logitech\key3.db,,,16384
*.db,secmod.db,C:\Users\eltun\OneDrive\Logitech\browser - logitech\secmod.db,,,16384
