smws_code,smoky,peaty,sherry,fruity,spicy,sweet,rich
35.143,0.0,0.0,0.2,0.4,1.0,1.0,0.6
35.23,0.0,0.0,0.0,0.2,0.6,0.2,0.0
35.35,0.2,0.0,0.2,0.2,0.6,1.0,0.6
35.49,0.0,0.0,0.0,0.6,0.4,1.0,1.0
35.51,0.0,0.0,0.0,0.0,1.0,0.0,1.0
35.55,0.0,0.0,0.0,0.0,0.0,0.6,0.2
35.57,0.0,0.0,0.0,0.2,0.0,0.0,0.4
35.64,0.0,0.0,0.2,0.2,0.2,0.6,0.6
35.65,0.0,0.0,0.4,0.4,0.0,1.0,0.4
35.71,0.2,0.0,0.0,0.2,0.4,0.6,1.0
35.81,0.0,0.0,0.0,0.2,0.2,1.0,0.2
35.83,0.4,0.0,0.0,0.2,0.4,1.0,0.6
35.85,0.0,0.0,0.0,0.6,0.0,1.0,0.2
036.32,0.0,0.0,0.0,0.2,0.2,0.2,0.4
36.37,0.4,0.0,0.4,0.0,0.0,0.2,0.2
36.46,0.0,0.0,0.0,0.6,0.0,0.6,0.0
36.49,0.0,0.0,0.0,0.6,0.8,0.2,0.2
36.54,0.2,0.0,0.2,0.0,0.0,0.8,0.8
36.55,0.0,0.0,0.0,0.2,0.2,0.6,0.0
36.61,0.0,0.0,0.0,0.4,0.8,1.0,0.4
36.62,0.0,0.0,0.0,0.2,0.0,0.2,0.0
36.67,0.0,0.0,0.0,1.0,0.2,0.8,0.0
36.68,0.4,0.0,0.0,1.0,0.6,0.8,0.6
36.70,0.0,0.0,0.0,0.8,0.2,1.0,0.4
36.76,0.0,0.0,0.0,1.0,0.8,1.0,0.2
36.86,0.2,0.0,0.0,1.0,0.4,0.8,0.2
36.87,0.0,0.0,0.0,1.0,1.0,1.0,0.4
36.96,0.0,0.0,0.0,1.0,0.4,0.8,1.0
037.25,0.2,0.0,0.0,0.0,0.0,0.4,0.0
37.30,0.0,0.0,0.0,0.0,0.0,0.2,0.0
37.33,0.0,0.0,0.6,1.0,0.6,0.2,0.6
37.45,0.0,0.0,0.0,0.0,1.0,0.6,1.0
37.46,0.0,0.0,0.0,0.6,0.2,1.0,0.0
37.48,0.0,0.0,0.0,0.4,0.0,0.2,0.6
37.50,0.4,0.0,0.0,0.6,0.4,0.6,0.2
37.51,0.4,0.0,0.4,0.2,0.6,0.8,0.6
37.54,0.0,0.0,0.0,0.2,0.0,0.6,0.4
37.58,0.0,0.0,0.0,1.0,0.2,0.6,0.6
037.60,0.2,0.0,0.0,1.0,1.0,1.0,0.2
037.64,0.0,0.0,0.0,1.0,0.6,0.6,0.2
037.75,0.0,0.0,0.0,0.4,0.0,0.6,0.2
38.18,0.6,0.0,0.0,0.6,0.4,0.4,0.2
