vector,count,distinct_distilleries,dominant_match_method,example_ids,example_names
"(0.0, 0.75, 0.0, 0.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",5,4,exact,"W000830,W002009,W002825,W002864,W003031",Tomintoul 16yo | Tomintoul 16 Year Old | Jura Bourbon Cask Matured
"(0.08, 0.67, 0.33, 0.08, 0.08, 0.75, 3.33)",5,1,p4_bulk_strong_candidate,"W000311,W000311,W000311,W000311,W000311",Dalmore 18yo | Dalmore 18yo | Dalmore 18yo
"(0.0, 0.0, 0.0, 0.25, 0.5, 0.25, 0.0)",5,3,p4_bulk_strong_candidate,"W000812,W000632,W000832,W000496,W000952",Tomintoul 25yo | Deveron 18yo | Deveron 10yo
"(0.0, 0.0, 0.0, 0.25, 0.5, 0.0, 0.0)",5,5,p4_review_calibrated_candidate,"W000119,W000782,W000787,W001040,W001339",Highland Park 21yo | Balblair 2000 | BenRiach 10yo
"(0.0, 0.0, 0.0, 0.25, 0.25, 0.0, 0.0)",5,5,p4_review_calibrated_candidate,"W000084,W000485,W000636,W000807,W000657",Timorous Beastie 40yo Cask Strength | Mortlach Special Strength | Glenrothes Elders' Reserve
"(0.0, 0.75, 1.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",5,5,exact,"W002031,W002047,W002128,W002632,W002685",Balblair 12 Year Old | Remus Repeal Reserve Straight (series Iv) | The ImpEx Collection 15 Year Old Linkwood 2008
"(0.0, 0.0, 0.25, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",5,5,exact,"W002044,W003022,W003029,W003141,W003181",Sweetens Cove 13 Year Old Tennessee Straight (batch 1) | Method And Madness Amburana Cask Finished | Keeper’s Heart 10 Year Old Malaga Wine Cask Finished
"(0.0, 0.5, 0.75, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",5,5,exact,"W002071,W002315,W002386,W002509,W003173",Frey Ranch Bottled In Bond (batch 1) | King Of Kentucky 14 Year Old Single Barrel Kentucky Straight 2020 Release (barrel No. 3) | The Busker Triple Cask Triple Smooth
"(0.0, 1.0, 0.5, 0.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",5,5,exact,"W002089,W002638,W002942,W003025,W003256",The Irishman Vintage Cask (2020 Release) | American Highway Reserve | Compass Box Orchard House
"(0.0, 0.75, 0.5, 0.75, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",5,5,exact,"W002095,W002314,W002508,W003078,W003288",Mars Komagatake Limited Edition (2019 Release) | George T. Stagg Kentucky Straight (buffalo Trace Antique Collection 2020) | Suavecito Founder’s Reserve Single Barrel Añejo (barrel 004)
"(0.0, 0.25, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",5,5,exact,"W002099,W002688,W002908,W002918,W002953",Kujira Ryukyu | Proof And Wood Good Day 21 Year Old Blended | Dalmore 2009 Select Edition Highland Single Malt
"(0.0, 1.0, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",5,5,exact,"W002106,W002233,W002642,W002696,W003149",Puni Vina | Starward Solera Single Malt | Garrison Brothers Laguna Madre (2022 Release)
"(0.25, 1.0, 0.5, 0.5, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0)",5,5,exact,"W002138,W002217,W002388,W002842,W003234",Roseisle 12 Year Old The Origami Kite (diageo Special Releases 2023) | Westward Milestone Edition No. 1 | REI Pure Malt
"(0.0, 0.25, 0.5, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",5,5,exact,"W002285,W002380,W002518,W002694,W003174","Hudson Bright Lights, Big Bourbon New York Straight | Waterford Single Farm Origin Dunmore Edition 1.1 | Tequila Corralejo Añejo"
"(0.0, 1.0, 0.25, 0.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",5,4,exact,"W002336,W002394,W002884,W002887,W003261",Puncher’s Chance Kentucky Straight | The Legendary Silkie | Gordon & Macphail Recollection Series No. 3 Imperial 1990
"(0.0, 0.25, 0.25, 0.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.25, 0.0)",5,5,exact,"W002564,W002578,W002915,W002932,W003193",Glen Garioch 12 Year Old | Dewar’s 21 Year Old Double Double • | Kentucky Peerless Double Oak Bourbon
"(0.0, 0.0, 100.0, 100.0, 0.0, 0.0, 0.0)",5,2,,"W003686,W3406,W3406,W3406,W003674",Glenallachie 12 | Hyde | Hyde
"(1.0, 0.88, 1.75, 0.19, 1.12, 1.09, 0.31, 0.01, 1.77, 3.62)",4,1,p4_bulk_strong_candidate,"W000018,W000018,W000018,W000018",Auchentoshan 12yo | Auchentoshan 12yo | Auchentoshan 12yo
"(0.0, 0.059, 0.095, 0.095, 0.0, 0.0, 1.0)",4,3,,"W000512,W000579,W000187,W000654",Macallan 18yo Fine Oak | Macallan 21yo Fine Oak | Balvenie 21yo Port Wood
"(0.0, 1.0, 0.088, 0.088, 0.0, 0.0, 0.0)",4,1,,"W000001,W000001,W000001,W000539",Aberlour A'Bunadh | Aberlour A'Bunadh | Aberlour A'Bunadh
"(2.0, 0.88, 1.38, 0.62, 0.88, 1.7, 0.25, 0.06, 3.17, 2.62)",4,1,p4_bulk_strong_candidate,"W000009,W000009,W000009,W000009",Aberlour 12y | Aberlour 12y | Aberlour 12y
"(0.0, 6.6, 0.0, 0.0, 1.7, 0.0, 2.0)",4,3,tasting_note_extraction,"W000313,W000753,W001339,W000632",Glenmorangie Duthac | Tullibardine 20yo | Highland Queen
"(0.0, 0.0, 0.0, 0.25, 0.75, 0.25, 0.0)",4,4,p4_bulk_strong_candidate,"W000459,W000533,W001346,W000546",Glenmorangie Astar | Timorous Beastie 18yo | Chivas Regal 12yo
