whisky_id,name,class,enrichment_version,source_count,evidence_count,superseded_by
W003675,Glen Moray Our Classic Smouth & Balanced,real_vector,1,1,1,
W003676,Glen Moray Peated,empty_or_null,1,1,1,QUARANTINE-2026-08-16
W003677,Glen Moray Port Cask Finish,real_vector,1,1,1,
W003678,Glen Moray Sherry Cask Finish,real_vector,1,1,1,
W003679,Glen Scotia Campbeltown Harbour,real_vector,1,1,1,
W003681,Glen Turner Heritage,parse_fail,1,1,1,
W003681,Glen Turner Heritage,parse_fail,1,1,1,
W003681,Glen Turner Heritage,parse_fail,1,1,1,
W003681,Glen Turner Heritage,parse_fail,1,1,1,
W003681,Glen Turner Heritage,parse_fail,1,1,1,
W003683,Glenallachie 10 batch 10,real_vector,1,1,1,
W003685,GlenAllachie 11 Palo Cortado Sherry Cask Matured,real_vector,1,1,1,
W003686,Glenallachie 12,real_vector,1,1,1,
W003687,Glenallachie 15,real_vector,1,1,1,
W003688,Glenallachie 25,real_vector,1,1,1,
W003690,Glenallachie 9 Rye Wood Finish,real_vector,1,1,1,
W003691,Glencadam 10,real_vector,1,1,1,
W003692,Glendalough Pot Still Peated Irish Whiskey,real_vector,1,1,1,
W003693,Glendronach 12,real_vector,1,1,1,
W003694,Glendronach 15 Revival,real_vector,1,1,1,
W003694,Glendronach 15 Revival,real_vector,1,1,1,
W003695,Glenfarclas 10,real_vector,1,1,1,
W003696,Glenfarclas 12,real_vector,1,1,1,
W003697,Glenfarclas 15,real_vector,1,1,1,
W003698,Glenfarclas 18,real_vector,1,1,1,
W003699,Glenfarclas 8,real_vector,1,1,1,
W003700,Glenfarclas Heritage,real_vector,1,1,1,
W003701,Glenfiddich 12,real_vector,1,1,1,
W003702,Glenfiddich 14 Bourbon Barrel Reserve,real_vector,1,1,1,
W003703,Glenfiddich 15 Solera,real_vector,1,1,1,
W003704,Glenfiddich 18,real_vector,1,1,1,
W003704,Glenfiddich 18,real_vector,1,1,1,
W003704,Glenfiddich 18,real_vector,1,1,1,
W003705,Glenfiddich 18 Yeard Old Small Batch Limited Edition,real_vector,1,1,1,
W003706,Glenfiddich Fire & Cane Experimental series #04,real_vector,1,1,1,
W003707,Glenfiddich IPA Experimental series #01,real_vector,1,1,1,
W003711,Glenfiddich Perpetual Collection VAT 03 Cumulative Time,real_vector,1,1,1,
W003712,Glenfiddich Perpetual Collection VAT 04 Rich & Complex,real_vector,1,1,1,
W003713,Glenfiddich Project XX Experimental series #02,real_vector,1,1,1,
W003714,Glenfiddich Winter Storm Experimental series #03,real_vector,1,1,1,
W003715,Glenglassaugh 12,real_vector,1,1,1,
W003716,Glenglassaugh Portsoy,empty_or_null,1,1,1,QUARANTINE-2026-08-16
W003717,Glenlivet 12,real_vector,1,1,1,
W003718,"Glenlivet Founder's Reserve, The",real_vector,1,1,1,
W003719,Glenmorangie 10,real_vector,1,1,1,
W003720,Glenmorangie 12,empty_or_null,1,1,1,QUARANTINE-2026-08-16
W003721,Glenmorangie Quinta Ruban 14,real_vector,1,1,1,
W003722,Glenmorangie X,sentinel_10,1,1,1,
W003725,Grant's Triple Wood,real_vector,1,1,1,
W003728,Hazelburn 10,real_vector,1,1,1,
W003729,Hazelburn 12,real_vector,1,1,1,
W003730,Hazelburn 8 Years Old (2025),real_vector,1,1,1,
W003731,Hibiki Suntory Whisky Japanese Harmony,real_vector,1,1,1,
W003733,Highland Park 10 Viking Scars,real_vector,1,1,1,
W003734,Highland Park 12 Viking Honour,real_vector,1,1,1,
W003735,Highland Park 15,real_vector,1,1,1,
W003738,Highland Park 18,real_vector,1,1,1,
W003739,Highland Park 18 Viking Pride,real_vector,1,1,1,
W003740,Highland Park Cask Strength Release No. 2,real_vector,1,1,1,
W003746,Ileach Cask Strength,real_vector,1,1,1,
W003751,Jack Daniel's Tennessee Straight Rye,real_vector,1,1,1,
W003752,Jameson Black Barrel,real_vector,1,1,1,
W003753,Jameson Caskmates IPA Edtition,real_vector,1,1,1,
W003754,Jameson Caskmates Stout Edtition,real_vector,1,1,1,
W003755,Jameson Crested,real_vector,1,1,1,
W003756,Jameson Triple Triple Irish Whiskey,empty_or_null,1,1,1,QUARANTINE-2026-08-16
W003757,Jim Beam Rye - Pre-Prohibition Style,empty_or_null,1,1,1,QUARANTINE-2026-08-16
W003758,Johnnie Walker Black Label,real_vector,1,1,1,
W003759,Johnnie Walker Green Label,real_vector,1,1,1,
W003760,Johnnie Walker Platinum Label 18,empty_or_null,1,1,1,QUARANTINE-2026-08-16
W003762,Jura 10,parse_fail,1,1,1,
W003762,Jura 10,parse_fail,1,1,1,
W003762,Jura 10,parse_fail,1,1,1,
W003762,Jura 10,parse_fail,1,1,1,
W003762,Jura 10,parse_fail,1,1,1,
